"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","DA01_01","DA01_02","DA01_03","DA01_04","DA01_05","DA01_06","DA01_07","DA01_08","HU01","HU01_01","HU01_02","HU01_03","HU01_04","HU01_05","HU01_06","QE01","QE02","QE03","QE04","QE05","QE06","QE07","QE08","QE09","QE10","QE11","QE12","QE13","QE14","QE15","QE16","RG01_CP","RG01x01","RG01x02","RG01x03","RG01x04","RG02_CP","RG02x01","RG02x02","RG02x03","RG02x04","SD01","SD02_01","SD04","WC02","TIME001","TIME002","TIME003","TIME004","TIME005","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
159,,,"qnr2","interview",2023-11-18 20:23:27,"hu26","a24",,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,3,4,30,24,11,3,29,30,26,16,1,54,1,1,11,27,52,103,,193,,2023-11-18 20:26:40,0,0,4,4,0,0,108
160,,,"qnr2","interview",2023-11-18 21:14:18,"hu8","hu20","hu17","a25","hu13","a28","a2","a27",1,2,1,1,1,1,1,2,3,1,3,1,3,2,3,2,3,2,3,1,3,2,3,3,25,28,2,27,3,8,20,17,13,2,64,3,1,10,44,75,888,32,1020,,2023-11-18 21:31:48,1,0,5,5,0,0,047
164,,,"qnr2","interview",2023-11-18 21:15:31,"hu10","hu5","a23","a9","hu9","a13","hu12","a19",1,1,1,1,1,2,1,2,3,1,3,1,3,1,3,2,4,2,3,1,3,2,4,3,23,13,19,9,3,12,10,5,9,1,23,2,1,5,18,29,615,22,689,,2023-11-18 21:27:00,1,0,5,5,0,0,092
165,,,"qnr2","interview",2023-11-18 21:17:56,"a29","a10","hu11","hu14","hu3","a12","a17","hu15",2,2,1,1,2,1,1,1,3,2,3,2,2,1,4,1,3,2,3,2,3,2,4,3,10,12,17,29,3,15,14,11,3,1,53,1,1,4,20,30,230,19,303,,2023-11-18 21:22:59,1,0,5,5,0,0,115
169,,,"qnr2","interview",2023-11-18 21:33:31,"hu21","hu24","a5","a21",,,,,,,,,,,,2,1,2,1,1,3,,,,,,,,,,,3,7,21,22,5,3,19,7,24,21,1,23,3,1,6,13,2,127,,148,,2023-11-18 21:36:00,0,0,4,4,0,0,188
170,,,"qnr2","interview",2023-11-18 22:00:37,"hu21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,18,27,17,4,5,21,9,7,1,22,3,1,10,13,32,,,55,,2023-11-18 22:01:32,0,0,3,3,0,0,092
174,,,"qnr2","interview",2023-11-19 07:03:40,"a23","a30","a2","a1","hu27","hu23","hu8","hu25",3,2,1,1,2,2,1,1,1,1,3,2,1,1,3,2,4,2,3,1,1,1,2,4,23,30,1,2,4,25,23,27,8,1,23,2,1,20,12,34,922,17,1005,,2023-11-19 07:20:25,1,0,5,5,0,0,076
175,,,"qnr2","interview",2023-11-19 09:00:17,"hu3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,16,12,7,4,18,19,3,14,2,54,2,1,5,18,1,,,24,,2023-11-19 09:00:41,0,0,3,3,0,0,181
176,,,"qnr2","interview",2023-11-19 09:59:49,"hu4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,21,4,25,4,4,11,10,22,2,21,2,1,5,10,1,,,16,,2023-11-19 10:00:06,0,0,3,3,0,0,203
178,,,"qnr2","interview",2023-11-19 12:59:46,"a11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,22,5,3,4,26,17,1,20,2,23,3,1,6,21,4,,,31,,2023-11-19 13:00:17,0,0,3,3,0,0,168
179,,,"qnr2","interview",2023-11-19 14:29:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,5,,2023-11-19 14:29:46,0,0,1,1,0,0,16
180,,,"qnr2","interview",2023-11-19 22:29:36,"hu24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,19,8,15,4,24,6,28,16,2,21,3,1,8,28,1,,,37,,2023-11-19 22:30:13,0,0,3,3,0,0,151
181,,,"qnr2","interview",2023-11-20 01:19:23,"a10","hu29","a26","hu13","hu15","a9","hu12","a6",4,2,1,2,2,2,1,1,5,2,4,2,5,1,3,2,4,1,4,2,4,1,4,4,6,9,10,26,4,15,29,12,13,1,28,2,1,6,15,29,540,22,612,,2023-11-20 01:29:35,1,0,5,5,0,0,091
182,,,"qnr2","interview",2023-11-20 12:27:00,"hu2","a1","hu11","a29","a4","a13","hu30","hu16",1,1,1,1,2,1,1,1,4,2,4,2,4,1,3,2,3,1,3,1,3,2,3,4,13,1,4,29,4,11,16,2,30,1,23,1,1,3,13,32,474,9,531,,2023-11-20 12:35:51,1,0,5,5,0,0,146
186,,,"qnr2","interview",2023-11-20 14:17:16,"a10","hu23","hu15","a25","a29","hu2","hu1","a21",2,1,1,1,2,2,1,1,4,1,4,2,2,2,3,2,4,2,5,1,1,2,2,5,21,10,25,29,5,1,23,2,15,1,26,3,1,8,14,34,517,22,595,,2023-11-20 14:27:12,1,0,5,5,0,0,084
187,,,"qnr2","interview",2023-11-20 21:28:07,"hu10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,17,23,18,5,10,25,8,12,1,23,3,1,3,15,28,,,46,,2023-11-20 21:28:53,0,0,3,3,0,0,153
191,,,"qnr2","interview",2023-11-20 22:05:59,"hu5","a8","hu30","hu19","a24","a13","a3","hu26",2,1,1,1,2,2,1,2,3,1,4,2,3,1,2,2,1,2,3,1,5,2,5,5,3,13,24,8,5,19,5,26,30,1,23,2,1,10,12,24,449,19,514,,2023-11-20 22:14:33,1,0,5,5,0,0,094
194,,,"qnr2","interview",2023-11-21 14:11:58,"a11","hu24","a7",,,,,,,,,,,,,1,4,2,4,,,,,,,,,,,,,5,15,30,11,7,5,27,9,22,24,1,23,3,1,6,13,16,61,,96,,2023-11-21 14:13:34,0,0,4,4,0,0,177
195,,,"qnr2","interview",2023-11-21 14:50:38,"a12","a6","hu6","hu7","hu14","hu18","a19","a16",2,1,1,1,2,2,1,1,5,1,4,1,3,2,5,2,4,1,2,1,5,1,5,5,16,6,19,12,5,7,6,18,14,2,23,2,1,10,20,21,282,14,347,,2023-11-21 14:56:25,1,0,5,5,0,0,101
196,,,"qnr2","interview",2023-11-22 17:34:01,"a14","hu4","a2","hu21","hu28","a28","a5","hu20",2,1,1,2,2,1,1,1,4,2,3,1,3,2,3,2,3,1,3,1,3,2,3,5,5,2,28,14,5,20,21,4,28,1,63,2,1,11,15,41,336,22,425,,2023-11-22 17:41:07,1,0,5,5,0,0,08
197,,,"qnr2","interview",2023-11-22 18:41:39,"hu13","hu17","hu29","hu3","a22","a26","a9","a27",1,1,1,1,1,1,2,1,3,2,2,1,3,2,4,1,3,2,3,1,2,2,2,5,26,9,27,22,5,29,13,17,3,1,63,2,1,21,34,44,478,34,611,,2023-11-22 18:51:51,1,0,5,5,0,0,05
198,,,"qnr2","interview",2023-11-22 20:05:39,"a4","a13","hu11","hu16","a29","hu10","a18","hu18",2,2,1,2,1,1,1,1,3,2,2,2,3,1,2,2,4,1,1,2,3,1,2,6,13,4,29,18,6,18,11,16,10,1,23,2,1,18,15,47,783,30,893,,2023-11-22 20:20:33,1,0,5,5,0,0,059
203,,,"qnr2","interview",2023-11-22 20:18:07,"a11","hu27","hu20","hu6","a25","a28","a9","hu25",1,1,1,1,2,1,1,1,5,2,4,1,4,2,4,1,4,1,5,2,4,1,5,6,11,9,25,28,6,25,27,20,6,1,21,3,1,3,10,20,341,9,383,,2023-11-22 20:24:30,1,0,5,5,0,0,166
204,,,"qnr2","interview",2023-11-22 20:19:59,"a16","hu23",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,6,30,16,7,23,6,17,5,14,23,1,23,2,1,13,12,31,22,,78,,2023-11-22 20:21:17,0,0,4,4,0,0,142
206,,,"qnr2","interview",2023-11-22 20:27:14,"hu15","a8","a15","a26","hu9","hu4","a17","hu3",1,1,1,2,1,1,1,1,1,2,4,2,3,1,2,1,4,2,3,2,3,1,3,6,8,26,17,15,6,4,9,3,15,1,28,2,1,4,14,1,104,17,140,,2023-11-22 20:29:34,1,0,5,5,0,0,194
208,,,"qnr2","interview",2023-11-22 20:35:57,"a10","hu22","a12","a19","hu26","hu7","a20","hu19",1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,6,12,19,10,20,6,19,7,26,22,2,36,2,1,20,28,17,233,24,322,,2023-11-22 20:41:19,1,0,5,5,0,0,087
210,,,"qnr2","interview",2023-11-22 20:39:08,"a22","hu8","hu30","a1","hu13","a2","hu2","a21",1,1,1,1,1,1,2,2,3,2,2,1,3,2,3,2,3,1,4,2,4,1,3,6,22,21,1,2,6,2,8,30,13,1,22,4,1,2,6,1,136,8,153,,2023-11-22 20:41:41,1,0,5,5,0,0,256
212,,,"qnr2","interview",2023-11-22 22:13:00,"a6","hu21","hu29","a3","a27","hu24","a5","hu1",2,1,1,1,2,2,1,1,2,2,3,2,2,1,2,1,1,2,1,1,1,2,1,6,27,5,6,3,6,21,29,1,24,2,23,2,1,5,18,49,542,17,631,,2023-11-22 22:23:32,1,0,5,5,0,0,091
213,,,"qnr2","interview",2023-11-22 22:25:33,"a29","hu12","a14","hu11","a15","hu18","hu28","a24",2,1,1,1,2,2,1,1,3,2,2,2,4,2,3,1,2,2,2,2,2,2,2,6,29,24,14,15,6,11,28,12,18,1,24,2,1,3,14,26,263,17,323,,2023-11-22 22:30:56,1,0,5,5,0,0,137
215,,,"qnr2","interview",2023-11-23 10:41:57,"a9","a2","hu21","a25","hu27","hu1","hu23","a4",1,1,1,1,2,1,1,2,3,1,4,2,4,1,3,2,3,2,5,2,2,2,5,7,4,25,9,2,7,27,21,23,1,1,23,2,1,7,42,3,101,4,130,,2023-11-23 10:44:35,1,0,5,5,0,0,202
216,,,"qnr2","interview",2023-11-23 13:07:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,4,,2023-11-23 13:07:36,0,0,1,1,0,0,2
217,,,"qnr2","interview",2023-11-23 13:48:40,"a14","a22","hu19","a19","a24","hu10","hu28","hu30",2,1,1,1,2,2,1,1,2,2,4,1,5,2,3,1,4,2,4,2,5,2,1,7,22,19,14,24,7,30,19,10,28,1,23,3,1,6,56,41,361,17,440,,2023-11-23 13:56:43,1,0,5,5,0,0,081
218,,,"qnr2","interview",2023-11-23 16:21:17,"a23","hu26","a21","hu16","hu29","hu17","a3","a8",2,1,1,2,2,1,1,1,3,1,2,2,4,1,4,2,2,2,4,1,3,1,4,7,8,3,23,21,7,17,16,26,29,1,21,2,1,4,10,40,578,16,648,,2023-11-23 16:32:06,1,0,5,5,0,0,116
219,,,"qnr2","interview",2023-11-23 16:45:25,"a12","a18","hu7","a16","hu9","hu5","a20","hu15",1,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,7,20,16,12,18,7,7,9,15,5,1,23,2,1,6,15,33,786,15,855,,2023-11-23 16:59:40,1,0,5,5,0,0,094
222,,,"qnr2","interview",2023-11-24 09:17:44,"hu25","hu14",,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,7,27,1,28,7,7,14,22,25,3,2,22,3,1,2,13,8,28,,51,,2023-11-24 09:18:35,0,0,4,4,0,0,254
223,,,"qnr2","interview",2023-11-24 09:19:21,"a11","a17","a10","hu13","a5","hu8","hu2","hu12",3,2,1,1,2,2,1,2,5,2,4,2,3,1,5,2,3,1,5,1,5,1,5,7,5,17,11,10,7,12,2,13,8,2,22,3,1,2,35,2,760,29,828,,2023-11-24 09:33:09,1,0,5,5,0,0,149
232,,,"qnr2","interview",2023-11-25 17:51:44,"hu20","hu24","a26",,,,,,,,,,,,,1,5,2,2,,,,,,,,,,,,,7,30,13,6,26,7,20,4,6,24,1,25,4,1,3,7,23,187,,220,,2023-11-25 17:55:25,0,0,4,4,0,0,183
236,,,"qnr2","interview",2023-11-25 19:44:52,"a11","a5","hu26","a9",,,,,,,,,,,,1,1,1,1,2,1,,,,,,,,,,,8,9,12,11,5,8,9,26,18,1,1,52,3,1,33,19,52,224,,303,,2023-11-25 19:50:20,0,0,4,4,0,0,067
238,,,"qnr2","interview",2023-11-25 19:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,128,,,,,8,,2023-11-25 19:54:36,1,0,1,1,0,0,006
242,,,"qnr2","interview",2023-11-25 20:04:06,"a19","hu10","a2","hu28","a7","hu19","hu30","a25",,,,,,,,2,2,1,5,2,4,1,3,2,2,2,3,2,2,,,8,7,2,25,19,8,19,30,10,28,1,50,2,1,3,26,52,968,,1049,,2023-11-25 20:21:36,0,0,4,4,0,0,1
245,,,"qnr2","interview",2023-11-25 21:42:23,"a28","hu17","a16","a24","a21","hu4","hu12","hu16",2,1,1,1,2,2,1,1,3,2,2,2,3,1,3,1,3,2,4,2,4,1,3,8,16,21,28,24,8,4,12,16,17,1,53,1,1,9,17,30,413,37,506,,2023-11-25 21:50:50,1,0,5,5,0,0,075
249,,,"qnr2","interview",2023-11-25 21:54:48,"a14","hu3","hu22","a27","hu8","hu20","a3","a26",3,2,1,2,1,2,1,2,3,2,4,2,4,1,4,2,3,1,4,1,4,1,4,8,27,14,3,26,8,8,20,22,3,2,61,2,1,9,26,25,258,26,344,,2023-11-25 22:00:32,1,0,5,5,0,0,085
253,,,"qnr2","interview",2023-11-25 22:19:24,"hu2","a4","a1","a20","hu15","hu23","a8","hu11",2,1,1,1,2,2,1,2,4,1,5,1,2,2,4,1,3,2,4,2,3,2,3,8,4,20,1,8,8,2,15,11,23,1,55,2,1,7,13,38,205,25,288,,2023-11-25 22:24:12,1,0,5,5,0,0,1
254,,,"qnr2","interview",2023-11-25 23:06:36,"hu5","hu29","a17","a13","a23","hu25","hu21","a29",1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,8,23,17,13,29,8,29,25,21,5,1,55,1,1,8,27,84,413,65,551,,2023-11-25 23:16:33,1,0,5,5,0,0,056
255,,,"qnr2","interview",2023-11-25 23:07:17,"hu27","hu13","a15","hu7","a10","hu6","a22","a6",1,1,1,1,1,1,2,2,5,1,4,2,5,2,5,2,3,1,3,2,4,1,2,8,15,10,6,22,8,13,27,6,7,2,61,2,1,55,41,57,1165,31,372,,2023-11-25 23:29:46,1,0,5,5,0,0,036
256,,,"qnr2","interview",2023-11-26 07:42:49,"a12","hu1","hu14","a13","a30","hu24","hu17","a18",1,1,1,1,2,1,1,1,3,2,2,1,2,1,3,1,4,2,3,2,2,1,3,8,18,12,13,30,8,14,17,24,1,1,23,4,1,9,9,16,172,15,221,,2023-11-26 07:46:30,1,0,5,5,0,0,139
257,,,"qnr2","interview",2023-11-26 09:55:00,"hu30","hu15","hu8","a26","a20","hu28","a14","a15",1,1,1,1,1,1,2,2,4,1,3,2,4,2,3,2,4,2,3,1,3,1,4,9,15,14,26,20,9,28,8,30,15,1,50,1,1,8,24,34,276,13,355,,2023-11-26 10:00:56,1,0,5,5,0,0,096
259,,,"qnr2","interview",2023-11-26 21:49:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,22,,2023-11-26 21:49:46,0,0,1,1,0,0,036
